name,ring,quadrant,isNew,description
Babel,adopt,tools,TRUE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Consul,adopt,tools,FALSE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Grafana,trial,tools,TRUE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Packer,trial,tools,FALSE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Apache Kafka,assess,tools,TRUE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Espresso,assess,tools,FALSE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
fastlane,hold,tools,TRUE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Galen,hold,tools,FALSE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Ember.js,adopt,languages & frameworks,TRUE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
React.js,adopt,languages & frameworks,FALSE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Redux,trial,languages & frameworks,TRUE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Spring Boot,trial,languages & frameworks,FALSE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Butterknife,assess,languages & frameworks,TRUE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Dagger,assess,languages & frameworks,FALSE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Dapper,hold,languages & frameworks,TRUE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Elixir,hold,languages & frameworks,FALSE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Docker,adopt,platforms,TRUE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
HSTS,adopt,platforms,FALSE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Linux security modules,trial,platforms,TRUE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Apache Mesos,trial,platforms,FALSE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Auth0x,assess,platforms,TRUE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
AWS Lambda,assess,platforms,FALSE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Kubernetes,hold,platforms,TRUE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Pivotal Cloud Foundry,hold,platforms,FALSE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Consumer-driven contract testing,adopt,techniques,TRUE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Pipelines as code,adopt,techniques,FALSE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Threat Modeling,trial,techniques,TRUE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
APIs as a product,trial,techniques,FALSE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Bug bounties,assess,techniques,TRUE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Data Lake,assess,techniques,FALSE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
Hosting PII data in the EU,hold,techniques,TRUE,"Esta é a descrição. Você pode usar html básico, como <strong>tag strong para enfatizar palavras-chave e frases</strong> e inserir <a href=""https://www.thoughtworks.com"">links âncora para documentação e material de referência</a>."
